Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      290    0.006    0.000    0.204    0.001 matrices.py:757(row)
   125493    0.035    0.000    0.201    0.000 basic.py:1210(matches)
  936/149    0.001    0.000    0.197    0.001 polyclasses.py:427(mul)
83288/40312    0.081    0.000    0.193    0.000 ikfast.py:1409(codeComplexity)
        1    0.006    0.006    0.193    0.193 __init__.py:23(<module>)
17293/16396    0.032    0.000    0.193    0.000 basic.py:475(__str__)
       36    0.000    0.000    0.191    0.005 ikfast.py:6795(_SimplifyRotationFcn)
       36    0.001    0.000    0.191    0.005 ikfast.py:6904(_SimplifyRotationNorm_new)
   170303    0.065    0.000    0.188    0.000 compatibility.py:54(is_sequence)
    16257    0.009    0.000    0.186    0.000 expr.py:97(__rmul__)
    16903    0.009    0.000    0.180    0.000 matrices.py:389(<lambda>)
    87/85    0.000    0.000    0.174    0.002 complexes.py:166(eval)
 1074/614    0.004    0.000    0.168    0.000 expr.py:309(as_ordered_terms)
      783    0.002    0.000    0.166    0.000 add.py:282(_eval_is_odd)
      574    0.001    0.000    0.162    0.000 printer.py:255(_as_ordered_terms)
        1    0.001    0.001    0.161    0.161 ikfast.py:2206(ComputeConsistentValues)
      135    0.000    0.000    0.158    0.001 cse_main.py:25(preprocess_for_cse)
      135    0.003    0.000    0.158    0.001 cse_opts.py:38(sub_pre)
 1074/614    0.018    0.000    0.157    0.000 expr.py:344(as_terms)
        2    0.000    0.000    0.157    0.078 inversekinematics.py:255(__init__)
        1    0.000    0.000    0.156    0.156 inversekinematics.py:1364(<lambda>)
    11202    0.012    0.000    0.155    0.000 polyoptions.py:689(build_options)
      300    0.001    0.000    0.155    0.001 function.py:1271(expand_mul)
        1    0.002    0.002    0.153    0.153 ikfast.py:179(<module>)
55712/3646    0.044    0.000    0.152    0.000 densetools.py:602(dmp_ground_content)
    16438    0.013    0.000    0.151    0.000 polyclasses.py:291(terms)
39560/39525    0.075    0.000    0.150    0.000 function.py:419(_eval_expand_power_exp)
35713/35678    0.073    0.000    0.150    0.000 function.py:467(_eval_expand_log)
39570/39535    0.074    0.000    0.148    0.000 function.py:431(_eval_expand_power_base)
      144    0.000    0.000    0.148    0.001 expressiondomain.py:44(simplify)
      144    0.000    0.000    0.148    0.001 expr.py:1980(cancel)
 2955/266    0.004    0.000    0.146    0.001 expr.py:1831(diff)
 2955/266    0.020    0.000    0.145    0.001 function.py:630(__new__)
   133820    0.057    0.000    0.144    0.000 numbers.py:448(__hash__)
       30    0.000    0.000    0.144    0.005 solvers.py:918(<lambda>)
     5542    0.068    0.000    0.142    0.000 polyoptions.py:120(__init__)
    16631    0.010    0.000    0.142    0.000 densebasic.py:1636(dmp_list_terms)
        3    0.003    0.001    0.141    0.047 __init__.py:10(<module>)
